slug,name,skin_registered,public_coverage,rtl_status,rtl_evidence_scope,checked_at,source_url
galaxy-fold,Galaxy Fold,yes,archived,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s20,Galaxy S20,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s20-fe,Galaxy S20 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s20-plus,Galaxy S20 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s20-ultra,Galaxy S20 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s21,Galaxy S21,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s21-fe,Galaxy S21 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s21-plus,Galaxy S21 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s21-ultra,Galaxy S21 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s22,Galaxy S22,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s22-plus,Galaxy S22 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s22-ultra,Galaxy S22 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s23,Galaxy S23,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s23-fe,Galaxy S23 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s23-plus,Galaxy S23 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s23-ultra,Galaxy S23 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s24,Galaxy S24,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s24-fe,Galaxy S24 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s24-plus,Galaxy S24 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s24-ultra,Galaxy S24 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s25,Galaxy S25,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s25-edge,Galaxy S25 Edge,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s25-fe,Galaxy S25 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s25-plus,Galaxy S25 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s25-ultra,Galaxy S25 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s26,Galaxy S26,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s26-fe,Galaxy S26 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s26-plus,Galaxy S26 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-s26-ultra,Galaxy S26 Ultra,yes,published,listed,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-a11,Galaxy Tab A11,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-a11-plus,Galaxy Tab A11 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-a7-10-4-2022,Galaxy Tab A7 10.4 (2022),yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-a7-lite,Galaxy Tab A7 Lite,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-a9,Galaxy Tab A9,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-a9-plus,Galaxy Tab A9 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-active3,Galaxy Tab Active3,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-active4-pro,Galaxy Tab Active4 Pro,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-active5,Galaxy Tab Active5,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-active5-pro,Galaxy Tab Active5 Pro,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s10-fe,Galaxy Tab S10 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s10-fe-plus,Galaxy Tab S10 FE Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s10-lite,Galaxy Tab S10 Lite,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s10-plus,Galaxy Tab S10 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s10-ultra,Galaxy Tab S10 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s11,Galaxy Tab S11,yes,published,listed,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s11-ultra,Galaxy Tab S11 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s4-10-5,Galaxy Tab S4 10.5,yes,archived,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s6,Galaxy Tab S6,yes,archived,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s6-lite,Galaxy Tab S6 Lite,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s7,Galaxy Tab S7,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s7-fe,Galaxy Tab S7 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s7-plus,Galaxy Tab S7 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s8,Galaxy Tab S8,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s8-plus,Galaxy Tab S8 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s9,Galaxy Tab S9,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s9-fe,Galaxy Tab S9 FE,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s9-fe-plus,Galaxy Tab S9 FE Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s9-plus,Galaxy Tab S9 Plus,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-tab-s9-ultra,Galaxy Tab S9 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-z-flip,Galaxy Z Flip,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-z-flip3,Galaxy Z Flip3,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-flip4,Galaxy Z Flip4,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-flip5,Galaxy Z Flip5,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
